,Time,KeyPressed
242,1696252325.3,'d'
243,1696252325.4,'e'
244,1696252325.6,Key.space
245,1696252325.8,'f'
246,1696252325.9,'o'
247,1696252326.1,'r'
248,1696252326.3,'m'
249,1696252326.5,'a'
250,1696252326.7,Key.space
251,1696252327.2,'d'
252,1696252327.3,'e'
253,1696252327.6,'s'
254,1696252327.8,'e'
255,1696252328.0,'n'
256,1696252328.4,'f'
257,1696252328.6,'r'
258,1696252328.8,'e'
259,1696252329.1,'n'
260,1696252329.3,'a'
261,1696252329.5,'d'
262,1696252329.8,'a'
263,1696252330.2,Key.space
264,1696252330.7,'x'
265,1696252331.2,'d'
266,1696252332.1,Key.esc
